Role,Skills
Data Scientist,Python R SQL Machine-Learning Deep-Learning Pandas Statistics Data-Visualization
DevOps Engineer,Python Bash Cloud AWS Docker Kubernetes CI/CD Automation Linux Terraform
Backend Developer,Java Python Node.js SQL NoSQL REST-API Microservices Django Spring-Boot
Frontend Developer,JavaScript HTML CSS React Angular Vue.js TypeScript UI/UX Webpack
ML Engineer,Python TensorFlow PyTorch C++ Machine-Learning Model-Deployment MLOps Cloud
Cloud Architect,Cloud AWS Azure GCP Architecture Security Networking Docker Kubernetes Terraform
Site Reliability Eng.,Python Go Linux Cloud Docker Kubernetes Monitoring Automation Prometheus
Data Engineer,Python SQL Spark Hadoop Kafka ETL Data-Warehousing Cloud Airflow
Full Stack Developer,JavaScript Python React Node.js SQL MongoDB HTML CSS REST-API
Mobile Developer,Swift Kotlin Java React-Native iOS Android Flutter Mobile-UI
